Z,,A,atom%,N,Z,,A,atom%,N
1,H,1,99.9981,2.59E+10,15,P,31,100,8300
1,H,2,0.00194,5.03E+05,,,,,
"",,,100,2.59E+10,16,S,32,95.018,400258
2,He,3,0.0166,1.03E+06,16,S,33,0.75,3160
2,He,4,99.9834,2.51E+09,16,S,34,4.215,17800
"",,,100,2.51E+09,16,S,36,0.017,72
3,Li,6,7.589,4.2,,,,100,421245
3,Li,7,92.411,51.4,17,Cl,35,75.771,3920
"",,,100,55.6,17,Cl,37,24.229,1250
4,Be,9,100,0.612,,,,100,5170
"",,,,,18,Ar,36,84.595,78400
5,B,10,19.820,3.7,18,Ar,38,15.381,14300
5,B,11,80.180,15.1,18,Ar,40,0.024,22
"",,,100,18.8,,,,100,92700
6,C,12,98.889,7.11E+06,19,K,39,93.132,3500
6,C,13,1.111,7.99E+04,19,K*,40,0.147,6
"",,,100,7.19E+06,19,K,41,6.721,253
7,N,14,99.634,2.12E+06,,,,100,3760
7,N,15,0.366,7.78E+03,20,Ca,40,96.941,58500
"",,,100,2.12E+06,20,Ca,42,0.647,391
8,O,16,99.763,1.57E+07,20,Ca,43,0.135,82
8,O,17,0.037,5.90E+03,20,Ca,44,2.086,1260
8,O,18,0.200,3.15E+04,20,Ca,46,0.004,2
"",,,100,1.57E+07,20,Ca,48,0.187,113
9,F,19,100,804,,,,100,60400
"",,,,,21,Sc,45,100,34.4
10,Ne,20,92.9431,3.06E+06,,,,,
10,Ne,21,0.2228,7.33E+03,22,Ti,46,8.249,204
10,Ne,22,6.8341,2.25E+05,22,Ti,47,7.437,184
"",,,100,3.29E+06,22,Ti,48,73.72,1820
11,Na,23,100,57700,22,Ti,49,5.409,134
"",,,,,22,Ti,50,5.185,128
12,Mg,24,78.992,8.10E+05,,,,100,2470
12,Mg,25,10.003,1.03E+05,23,V,50,0.2497,0.7
12,Mg,26,11.005,1.13E+05,23,V,51,99.7503,285.7
"",,,100,1.03E+06,,,,100,286.4
13,Al,27,100,8.46E+04,24,Cr,50,4.3452,569
14,Si,28,92.230,9.22E+05,24,Cr,52,83.7895,11000
14,Si,29,4.683,4.68E+04,24,Cr,53,9.5006,1240
14,Si,30,3.087,3.09E+04,24,Cr,54,2.3647,309
"",,,100,1.00E+06,,,,100,13100
Z,,A,atom%,N,Z,,A,atom%,N
25,Mn,55,100,9220,35,Br,79,50.686,5.43
"",,,,,35,Br,81,49.314,5.28
26,Fe,54,5.845,49600,,,,100,10.7
26,Fe,56,91.754,7.78E+05,36,Kr,78,0.362,0.20
26,Fe,57,2.1191,18000,36,Kr,80,2.326,1.30
26,Fe,58,0.2819,2390,36,Kr,82,11.655,6.51
"",,,100,8.48E+05,36,Kr,83,11.546,6.45
27,Co,59,100,2350,36,Kr,84,56.903,31.78
"",,,,,36,Kr,86,17.208,9.61
28,Ni,58,68.0769,33400,,,,100,55.8
28,Ni,60,26.2231,12900,37,Rb,85,70.844,5.121
28,Ni,61,1.1399,559,37,Rb*,87,29.156,2.108
28,Ni,62,3.6345,1780,,,,100,7.23
28,Ni,64,0.9256,454,38,Sr,84,0.5580,0.13
"",,,100,49000,38,Sr,86,9.8678,2.30
29,Cu,63,69.174,374,38,Sr,87,6.8961,1.60
29,Cu,65,30.826,167,38,Sr,88,82.6781,19.2
"",,,100,541,,,,100,23.3
30,Zn,64,48.63,630,39,Y,89,100,4.63
30,Zn,66,27.9,362,,,,,
30,Zn,67,4.1,53,40,Zr,90,51.452,5.546
30,Zn,68,18.75,243,40,Zr,91,11.223,1.210
30,Zn,70,0.62,8,40,Zr,92,17.146,1.848
"",,,100,1300,40,Zr,94,17.38,1.873
31,Ga,69,60.108,22.0,40,Zr,96,2.799,0.302
31,Ga,71,39.892,14.6,,,,100,10.78
"",,,100,36.6,41,Nb,93,100,0.780
32,Ge,70,21.234,24.3,,,,,
32,Ge,72,27.662,31.7,42,Mo,92,14.525,0.370
32,Ge,73,7.717,8.8,42,Mo,94,9.151,0.233
32,Ge,74,35.943,41.2,42,Mo,95,15.838,0.404
32,Ge,76,7.444,8.5,42,Mo,96,16.672,0.425
"",,,100,115,42,Mo,97,9.599,0.245
33,As,75,100,6.10,42,Mo,98,24.391,0.622
"",,,,,42,Mo,100,9.824,0.250
34,Se,74,0.89,0.60,,,,100,2.55
34,Se,76,9.37,6.32,44,Ru,96,5.542,0.099
34,Se,77,7.64,5.15,44,Ru,98,1.869,0.033
34,Se,78,23.77,16.04,44,Ru,99,12.758,0.227
34,Se,80,49.61,33.48,44,Ru,100,12.599,0.224
34,Se,82,8.73,5.89,44,Ru,101,17.060,0.304
Z,,A,atom%,N,Z,,A,atom%,N
44,Ru,102,31.552,0.562,52,Te,120,0.096,0.005
44,Ru,104,18.621,0.332,52,Te,122,2.603,0.122
"",,,100,1.78,52,Te,123,0.908,0.043
45,Rh,103,100,0.370,52,Te,124,4.816,0.226
"",,,,,52,Te,125,7.139,0.335
46,Pd,102,1.02,0.0139,52,Te,126,18.952,0.889
46,Pd,104,11.14,0.1513,52,Te,128,31.687,1.486
46,Pd,105,22.33,0.3032,52,Te,130,33.799,1.585
46,Pd,106,27.33,0.371,,,,100,4.69
"",,,,,53,I,127,100,1.10
46,Pd,108,26.46,0.359,,,,,
46,Pd,110,11.72,0.159,54,Xe,124,0.129,0.007
"",,,100,1.36,54,Xe,126,0.112,0.006
47,Ag,107,51.839,0.254,54,Xe,128,2.23,0.122
47,Ag,109,48.161,0.236,54,Xe,129,27.46,1.499
"",,,100,0.489,54,Xe,130,4.38,0.239
48,Cd,106,1.25,0.020,54,Xe,131,21.80,1.190
48,Cd,108,0.89,0.014,54,Xe,132,26.36,1.438
48,Cd,110,12.49,0.197,54,Xe,134,9.66,0.527
48,Cd,111,12.8,0.201,54,Xe,136,7.87,0.429
48,Cd,112,24.13,0.380,,,,100,5.46
48,Cd,113,12.22,0.192,55,Cs,133,100,0.371
48,Cd,114,28.73,0.452,,,,,
48,Cd,116,7.49,0.118,56,Ba,130,0.106,0.005
"",,,100,1.57,56,Ba,132,0.101,0.005
49,In,113,4.288,0.008,56,Ba,134,2.417,0.108
49,In,115,95.712,0.170,56,Ba,135,6.592,0.295
"",,,100,0.178,56,Ba,136,7.853,0.351
50,Sn,112,0.971,0.035,56,Ba,137,11.232,0.502
50,Sn,114,0.659,0.024,56,Ba,138,71.699,3.205
50,Sn,115,0.339,0.012,,,,100,4.471
50,Sn,116,14.536,0.524,57,La*,138,0.091,0.000
50,Sn,117,7.676,0.277,57,La,139,99.909,0.457
50,Sn,118,24.223,0.873,,,,100,0.457
50,Sn,119,8.585,0.309,58,Ce,136,0.186,0.002
50,Sn,120,32.593,1.175,58,Ce,138,0.250,0.003
50,Sn,122,4.629,0.167,58,Ce,140,88.450,1.043
50,Sn,124,5.789,0.209,58,Ce,142,11.114,0.131
"",,,100,3.60,,,,100,1.180
51,Sb,121,57.213,0.179,59,Pr,141,100,0.172
51,Sb,123,42.787,0.134,,,,,
"",,,100,0.313,,,,,
Z,,A,atom%,N,Z,,A,atom%,N
60,Nd,142,27.044,0.231,68,Er,166,33.503,0.088
60,Nd,143,12.023,0.103,68,Er,167,22.869,0.060
60,Nd,144,23.729,0.203,68,Er,168,26.978,0.071
60,Nd,145,8.763,0.075,68,Er,170,14.910,0.039
60,Nd,146,17.130,0.147,,,,100,0.262
60,Nd,148,5.716,0.049,69,Tm,169,100,0.0406
60,Nd,150,5.596,0.048,,,,,
"",,,100,0.856,70,Yb,168,0.12,0.0003
62,Sm,144,3.073,0.008,70,Yb,170,2.98,0.0076
62,Sm*,147,14.993,0.041,70,Yb,171,14.09,0.0361
62,Sm*,148,11.241,0.030,70,Yb,172,21.69,0.0556
62,Sm,149,13.819,0.037,70,Yb,173,16.10,0.0413
62,Sm,150,7.380,0.020,70,Yb,174,32.03,0.0821
62,Sm,152,26.742,0.071,70,Yb,176,13.00,0.0333
62,Sm,154,22.752,0.060,,,,100,0.256
"",,,100,0.267,71,Lu,175,97.1795,0.0370
63,Eu,151,47.81,0.0471,71,Lu*,176,2.8205,0.0011
63,Eu,153,52.19,0.0514,,,,100,0.0380
"",,,100,0.0984,72,Hf,174,0.162,0.0003
64,Gd,152,0.203,0.0007,72,Hf,176,5.206,0.0081
64,Gd,154,2.181,0.0078,72,Hf,177,18.606,0.0290
64,Gd,155,14.800,0.0533,72,Hf,178,27.297,0.0425
64,Gd,156,20.466,0.0736,72,Hf,179,13.629,0.0212
64,Gd,157,15.652,0.0563,72,Hf,180,35.100,0.0547
64,Gd,158,24.835,0.0894,,,,100,0.156
64,Gd,160,21.864,0.0787,73,Ta,180,0.0123,2.6E-06
"",,,100,0.360,73,Ta,181,99.9877,0.0210
65,Tb,159,100,0.0634,,,,100,0.0210
"",,,,,74,W,180,0.120,0.0002
66,Dy,156,0.056,0.0002,74,W,182,26.499,0.0363
66,Dy,158,0.095,0.0004,74,W,183,14.314,0.0196
66,Dy,160,2.329,0.0094,74,W,184,30.642,0.0420
66,Dy,161,18.889,0.0762,74,W,186,28.426,0.0390
66,Dy,162,25.475,0.1028,,,,100,0.137
66,Dy,163,24.896,0.1005,75,Re,185,35.662,0.0207
66,Dy,164,28.260,0.1141,75,Re*,187,64.338,0.0374
"",,,100,0.404,,,,100,0.0581
67,Ho,165,100,0.0910,76,Os,184,0.020,0.0001
"",,,,,76,Os,186,1.598,0.0108
68,Er,162,0.139,0.0004,76,Os,187,1.271,0.0086
68,Er,164,1.601,0.0042,76,Os,188,13.337,0.0904
Z,,A,atom%,N,Z,,A,atom%,N
76,Os,189,16.261,0.110,80,Hg,200,23.10,0.106
76,Os,190,26.444,0.179,80,Hg,201,13.18,0.060
76,Os,192,41.070,0.278,80,Hg,202,29.86,0.137
"",,,100,0.678,80,Hg,204,6.87,0.031
77,Ir,191,37.272,0.250,,,,100,0.458
77,Ir,193,62.728,0.421,81,Tl,203,29.524,0.054
"",,,100,0.672,81,Tl,205,70.476,0.129
78,Pt*,190,0.014,0.0002,,,,100,0.182
78,Pt,192,0.783,0.010,82,Pb,204,1.997,0.066
78,Pt,194,32.967,0.420,82,Pb,206,18.582,0.614
78,Pt,195,33.832,0.431,82,Pb,207,20.563,0.680
78,Pt,196,25.242,0.322,82,Pb,208,58.858,1.946
78,Pt,198,7.163,0.091,,,,100,3.306
"",,,100,1.27,83,Bi,209,100,0.1382
79,Au,197,100,0.195,90,Th*,232,100,0.0440
80,Hg,196,0.15,0.001,92,U*,234,0.002,4.9E-07
80,Hg,198,9.97,0.046,92,U*,235,24.286,0.0058
80,Hg,199,16.87,0.077,92,U*,238,75.712,0.0180
"",,,,,,,,100,0.0238
